hardware_profile,architecture,window_id,truth_regime,coherence_score,hardware_pressure_proxy,selected_policy,selected_throughput,best_possible_policy,best_possible_throughput,selected_efficiency,learned_policy_tree,learned_policy_forest,learned_policy,learned_matches_rule,learned_estimated_throughput,learned_gain_vs_rule,learned_gain_pct_vs_rule
avx2_linux,x86_64,32,uniform_32bit,0.08,0.88,simd,1770.8922755424119,simd,1950,0.8387284473925334,simd,simd,simd,True,1924.295987122199,153.4037115797871,8.662509498653758
avx2_linux,x86_64,33,zipfian_smallints,0.42,0.72,hybrid,1532.529093458427,hybrid,1950,0.7508056486986087,hybrid,hybrid,hybrid,True,1570.0427370411996,37.5136435827726,2.4478258679002516
avx2_linux,x86_64,34,clustered_ranges,0.18,0.98,guarded_fallback,1080.9667784383305,guarded_fallback,1950,0.8175899117767449,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,136.10356595121357,12.590911086818226
avx2_linux,x86_64,35,low_entropy_repeating,0.95,0.02,coherent_local,1644.9028500204663,coherent_local,1950,0.7861266182448339,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,75.15178888661194,4.568767625740139
avx2_linux,x86_64,36,sequential_ids,0.55,0.3,hybrid,1450.9962582794926,hybrid,1950,0.8908306063227139,hybrid,hybrid,hybrid,True,1578.8490912689192,127.85283298942659,8.811382679995818
avx2_linux,x86_64,37,uniform_32bit,0.08,0.88,simd,1977.5781520131566,simd,1950,0.8471522089675735,simd,simd,simd,True,1924.295987122199,-53.282164890957574,-2.6943139939484473
avx2_linux,x86_64,38,zipfian_smallints,0.42,0.72,hybrid,1545.5859238997389,hybrid,1950,0.8503423914302817,hybrid,hybrid,hybrid,True,1570.0427370411996,24.45681314146077,1.5823651576583113
avx2_linux,x86_64,39,clustered_ranges,0.18,0.98,guarded_fallback,1200.4108697163379,guarded_fallback,1950,0.8959796990529435,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,16.659474673206205,1.3878143803498637
avx2_linux,x86_64,40,low_entropy_repeating,0.95,0.02,coherent_local,1778.165488390004,coherent_local,1950,0.940830220592401,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-58.11084948292569,-3.2680225694595344
avx2_linux,x86_64,41,sequential_ids,0.55,0.3,hybrid,1690.7868419182216,hybrid,1950,0.9047912097111926,hybrid,hybrid,hybrid,True,1578.8490912689192,-111.93775064930242,-6.6204531448983515
avx2_linux,x86_64,42,uniform_32bit,0.08,0.88,simd,2004.103298451266,simd,1950,0.8804598525401821,simd,simd,simd,True,1924.295987122199,-79.80731132906703,-3.9821954981432666
avx2_linux,x86_64,43,zipfian_smallints,0.42,0.72,hybrid,1597.2127714372825,hybrid,1950,0.7745131019347743,hybrid,hybrid,hybrid,True,1570.0427370411996,-27.170034396082883,-1.7010904797382385
avx2_linux,x86_64,44,clustered_ranges,0.18,0.98,guarded_fallback,1109.4157223217292,guarded_fallback,1950,0.8646261313895012,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,107.6546220678149,9.703722410073722
avx2_linux,x86_64,45,low_entropy_repeating,0.95,0.02,coherent_local,1724.864423362152,coherent_local,1950,0.9311208553380624,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-4.809784455073668,-0.2788500006103846
avx2_linux,x86_64,46,sequential_ids,0.55,0.3,hybrid,1675.7373257739969,hybrid,1950,0.8983603989285122,hybrid,hybrid,hybrid,True,1578.8490912689192,-96.88823450507766,-5.7818270808240495
avx2_linux,x86_64,47,uniform_32bit,0.08,0.88,simd,1991.884757964173,simd,1950,0.8275399744571189,simd,simd,simd,True,1924.295987122199,-67.58877084197411,-3.39320688969245
avx2_linux,x86_64,48,zipfian_smallints,0.42,0.72,hybrid,1515.1869604085343,hybrid,1950,0.8225708384552273,hybrid,hybrid,hybrid,True,1570.0427370411996,54.85577663266531,3.620396562670705
avx2_linux,x86_64,49,clustered_ranges,0.18,0.98,guarded_fallback,1167.0850061462727,guarded_fallback,1950,0.9074845383773247,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,49.98533824327137,4.282921807754476
avx2_linux,x86_64,50,low_entropy_repeating,0.95,0.02,coherent_local,1797.7237152414523,coherent_local,1950,0.9384882392540834,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-77.66907633437404,-4.320412290046599
avx2_linux,x86_64,51,sequential_ids,0.55,0.3,hybrid,1687.1567708438292,hybrid,1950,0.8731525909604866,hybrid,hybrid,hybrid,True,1578.8490912689192,-108.30767957491003,-6.419538566101364
avx2_linux,x86_64,52,uniform_32bit,0.08,0.88,simd,1943.9899228249246,simd,1950,0.7522253989128532,simd,simd,simd,True,1924.295987122199,-19.69393570272564,-1.0130677876203822
avx2_linux,x86_64,53,zipfian_smallints,0.42,0.72,hybrid,1398.4493683149226,hybrid,1950,0.794490308934379,hybrid,hybrid,hybrid,True,1570.0427370411996,171.59336872627705,12.270259661459207
avx2_linux,x86_64,54,clustered_ranges,0.18,0.98,guarded_fallback,1133.388370721255,guarded_fallback,1950,0.9164504366909901,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,83.68197366828917,7.383345006004997
avx2_linux,x86_64,55,low_entropy_repeating,0.95,0.02,coherent_local,1812.9657423746833,coherent_local,1950,0.895225209992708,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-92.91110346760502,-5.124812967833962
avx2_linux,x86_64,56,sequential_ids,0.55,0.3,hybrid,1620.0990754886973,hybrid,1950,0.8868333406311084,hybrid,hybrid,hybrid,True,1578.8490912689192,-41.24998421977807,-2.5461396061432326
avx2_linux,x86_64,57,uniform_32bit,0.08,0.88,simd,1969.9833471991058,simd,1950,0.8118023601132489,simd,simd,simd,True,1924.295987122199,-45.68736007690677,-2.3191749382990676
avx2_linux,x86_64,58,zipfian_smallints,0.42,0.72,hybrid,1490.793658175536,hybrid,1950,0.8675494317332728,hybrid,hybrid,hybrid,True,1570.0427370411996,79.2490788656637,5.315898577315546
avx2_linux,x86_64,59,clustered_ranges,0.18,0.98,guarded_fallback,1221.0593180799276,guarded_fallback,1950,0.8148567625402553,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-3.9889736903835455,-0.32668140124888156
avx512_linux,x86_64,60,low_entropy_repeating,0.95,0.02,coherent_local,1640.256496318434,coherent_local,1950,0.8248748565755283,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,79.79814258864417,4.86497951800536
avx512_linux,x86_64,61,sequential_ids,0.55,0.3,hybrid,1511.056027692069,hybrid,1950,0.8718640333715664,hybrid,hybrid,hybrid,True,1578.8490912689192,67.79306357685027,4.486469219833952
avx512_linux,x86_64,62,uniform_32bit,0.08,0.88,simd,1941.541663405976,simd,1950,0.8620158743791135,simd,simd,simd,True,1924.295987122199,-17.245676283776902,-0.8882465212476275
avx512_linux,x86_64,63,zipfian_smallints,0.42,0.72,simd,1922.8301613203155,simd,1950,0.9386986905480807,hybrid,simd,simd,True,1866.9783168884285,-55.851844431887,-2.9046686262470636
avx512_linux,x86_64,64,clustered_ranges,0.18,0.98,guarded_fallback,1306.4384286576967,guarded_fallback,1950,0.7594782970926942,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-89.36808426815264,-6.840589063196349
avx512_linux,x86_64,65,low_entropy_repeating,0.95,0.02,coherent_local,1546.1131050575802,coherent_local,1950,0.9347467755871863,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,173.941533849498,11.250246394038559
avx512_linux,x86_64,66,sequential_ids,0.55,0.3,hybrid,1681.3575021601387,hybrid,1950,0.8328662999804505,hybrid,hybrid,hybrid,True,1578.8490912689192,-102.50841089121946,-6.096764713008441
avx512_linux,x86_64,67,uniform_32bit,0.08,0.88,simd,1867.445969962856,simd,1950,0.8468733449693133,simd,simd,simd,True,1924.295987122199,56.850017159343,3.0442657015920926
avx512_linux,x86_64,68,zipfian_smallints,0.42,0.72,simd,1894.0593554416953,simd,1950,0.866074475043135,hybrid,hybrid,hybrid,False,1570.0427370411996,-324.01661840049564,-17.106993900142843
avx512_linux,x86_64,69,clustered_ranges,0.18,0.98,guarded_fallback,1219.289370051762,guarded_fallback,1950,0.8261469690430285,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-2.219025662217973,-0.1819933575016544
avx512_linux,x86_64,70,low_entropy_repeating,0.95,0.02,coherent_local,1659.4498473731487,coherent_local,1950,0.8006827354874605,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,60.60479153392953,3.6521014256540987
avx512_linux,x86_64,71,sequential_ids,0.55,0.3,hybrid,1473.558240005564,hybrid,1950,0.91756734689476,hybrid,hybrid,hybrid,True,1578.8490912689192,105.29085126335531,7.145347119972519
avx512_linux,x86_64,72,uniform_32bit,0.08,0.88,simd,2028.3779591000439,simd,1950,0.8485272378576386,simd,simd,simd,True,1924.295987122199,-104.08197197784489,-5.131290818404684
avx512_linux,x86_64,73,zipfian_smallints,0.42,0.72,simd,1897.2017519295134,simd,1950,0.9288756536877815,hybrid,simd,simd,True,1866.9783168884285,-30.22343504108494,-1.5930532960106516
avx512_linux,x86_64,74,clustered_ranges,0.18,0.98,guarded_fallback,1294.6507844253379,guarded_fallback,1950,0.7926583363052395,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-77.5804400357938,-5.992383503651122
avx512_linux,x86_64,75,low_entropy_repeating,0.95,0.02,coherent_local,1602.5191717189073,coherent_local,1950,0.911266301831499,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,117.53546718817097,7.334418786522168
avx512_linux,x86_64,76,sequential_ids,0.55,0.3,hybrid,1644.9627678388238,hybrid,1950,0.9071864617084986,hybrid,hybrid,hybrid,True,1578.8490912689192,-66.11367656990456,-4.019159452269286
avx512_linux,x86_64,77,uniform_32bit,0.08,0.88,simd,2008.6542772461476,simd,1950,0.8337726175660645,simd,simd,simd,True,1924.295987122199,-84.35829012394856,-4.199741641931695
avx512_linux,x86_64,78,zipfian_smallints,0.42,0.72,simd,1869.1679733755223,simd,1950,0.9339204774753711,hybrid,simd,simd,True,1866.9783168884285,-2.189656487093771,-0.11714605205542228
avx512_linux,x86_64,79,clustered_ranges,0.18,0.98,guarded_fallback,1300.7045729704453,guarded_fallback,1950,0.8972982662686908,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-83.63422858090121,-6.429917317035646
avx512_linux,x86_64,80,low_entropy_repeating,0.95,0.02,coherent_local,1780.407052656774,coherent_local,1950,0.8368226582211264,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-60.35241374969587,-3.3898098561020795
avx512_linux,x86_64,81,sequential_ids,0.55,0.3,hybrid,1529.575120242746,hybrid,1950,0.949527750477053,hybrid,hybrid,hybrid,True,1578.8490912689192,49.273971026173285,3.221415566589069
avx512_linux,x86_64,82,uniform_32bit,0.08,0.88,simd,2089.102725906401,simd,1950,0.8132828639702003,simd,simd,simd,True,1924.295987122199,-164.8067387842018,-7.8888767287734485
avx512_linux,x86_64,83,zipfian_smallints,0.42,0.72,simd,1830.2374415433808,simd,1950,0.8964196477855831,hybrid,hybrid,hybrid,False,1570.0427370411996,-260.19470450218114,-14.2164452871627
avx512_linux,x86_64,84,clustered_ranges,0.18,0.98,guarded_fallback,1255.7035773426999,guarded_fallback,1950,0.7588645982421999,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-38.63323295315581,-3.076620442135783
avx512_linux,x86_64,85,low_entropy_repeating,0.95,0.02,coherent_local,1545.0698170117398,coherent_local,1950,0.8730924636571568,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,174.98482189533843,11.325366657784427
avx512_linux,x86_64,86,sequential_ids,0.55,0.3,hybrid,1585.793318668593,hybrid,1950,0.864151286083064,hybrid,hybrid,hybrid,True,1578.8490912689192,-6.944227399673764,-0.43790242510947314
avx512_linux,x86_64,87,uniform_32bit,0.08,0.88,simd,1926.8874435578214,simd,1950,0.7912490619579701,simd,simd,simd,True,1924.295987122199,-2.5914564356223764,-0.13448924815439603
avx512_linux,x86_64,88,zipfian_smallints,0.42,0.72,simd,1788.3732177201432,simd,1950,0.8651554283620067,hybrid,hybrid,hybrid,False,1570.0427370411996,-218.33048067894356,-12.208328693116751
avx512_linux,x86_64,89,clustered_ranges,0.18,0.98,guarded_fallback,1218.1865140344078,guarded_fallback,1950,0.8244665559686494,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-1.116169644863703,-0.09162551317098039
neon_arm64,arm64,90,low_entropy_repeating,0.95,0.02,coherent_local,1656.593145146704,coherent_local,1950,0.8066166115335671,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,63.461493760374196,3.83084367735653
neon_arm64,arm64,91,sequential_ids,0.55,0.3,hybrid,1482.755747877029,hybrid,1950,0.870172859237019,hybrid,hybrid,hybrid,True,1578.8490912689192,96.09334339189013,6.480726412929038
neon_arm64,arm64,92,uniform_32bit,0.08,0.88,simd,1938.3284325503364,simd,1950,0.947098075270451,simd,simd,simd,True,1924.295987122199,-14.032445428137407,-0.7239457045818781
neon_arm64,arm64,93,zipfian_smallints,0.42,0.72,hybrid,1700.5020166691993,hybrid,1950,0.7979341851102406,hybrid,hybrid,hybrid,True,1570.0427370411996,-130.45927962799965,-7.671809756717157
neon_arm64,arm64,94,clustered_ranges,0.18,0.98,guarded_fallback,1137.5210221322889,guarded_fallback,1950,0.8582913014781586,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,79.5493222572552,6.9932177700012605
neon_arm64,arm64,95,low_entropy_repeating,0.95,0.02,coherent_local,1714.0952125128697,coherent_local,1950,0.8958338044503255,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,5.959426394208549,0.34767184172179144
neon_arm64,arm64,96,sequential_ids,0.55,0.3,hybrid,1621.0423968980044,hybrid,1950,0.8848546811443668,hybrid,hybrid,hybrid,True,1578.8490912689192,-42.193305629085216,-2.602850222167262
neon_arm64,arm64,97,uniform_32bit,0.08,0.88,simd,1966.2238941742971,simd,1950,0.938731108202359,simd,simd,simd,True,1924.295987122199,-41.927907052098135,-2.132407564383988
neon_arm64,arm64,98,zipfian_smallints,0.42,0.72,hybrid,1687.5332177136563,hybrid,1950,0.8512061349096789,hybrid,hybrid,hybrid,True,1570.0427370411996,-117.49048067245667,-6.962261805526881
neon_arm64,arm64,99,clustered_ranges,0.18,0.98,guarded_fallback,1201.4473618916145,guarded_fallback,1950,0.9169963261004018,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,15.62298249792957,1.3003468144731718
neon_arm64,arm64,100,low_entropy_repeating,0.95,0.02,coherent_local,1813.8937543706832,coherent_local,1950,0.9387065011221107,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-93.83911546360491,-5.17335236628353
neon_arm64,arm64,101,sequential_ids,0.55,0.3,hybrid,1687.4950767392718,hybrid,1950,0.7819982290008607,hybrid,hybrid,hybrid,True,1578.8490912689192,-108.64598547035257,-6.438299404125552
neon_arm64,arm64,102,uniform_32bit,0.08,0.88,simd,1770.7966351016353,simd,1950,0.8125366465445895,simd,simd,simd,True,1924.295987122199,153.49935202056372,8.66837834327337
neon_arm64,arm64,103,zipfian_smallints,0.42,0.72,hybrid,1491.9318021441136,hybrid,1950,0.9177129624739071,hybrid,hybrid,hybrid,True,1570.0427370411996,78.11093489708605,5.235556664509046
neon_arm64,arm64,104,clustered_ranges,0.18,0.98,guarded_fallback,1281.2555549686888,guarded_fallback,1950,0.8776390667203089,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-64.18521057914472,-5.009555691699091
neon_arm64,arm64,105,low_entropy_repeating,0.95,0.02,coherent_local,1746.9864134245254,coherent_local,1950,0.9464815710926672,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-26.93177451744714,-1.5416132781853866
neon_arm64,arm64,106,sequential_ids,0.55,0.3,hybrid,1699.5464351936341,hybrid,1950,0.8797071838800515,hybrid,hybrid,hybrid,True,1578.8490912689192,-120.69734392471491,-7.101738524194164
neon_arm64,arm64,107,uniform_32bit,0.08,0.88,simd,1956.443649372098,simd,1950,0.921198763465719,simd,simd,simd,True,1924.295987122199,-32.147662249898985,-1.6431683202435436
neon_arm64,arm64,108,zipfian_smallints,0.42,0.72,hybrid,1660.3580833718645,hybrid,1950,0.8587484497835558,hybrid,hybrid,hybrid,True,1570.0427370411996,-90.31534633066485,-5.439510141526335
neon_arm64,arm64,109,clustered_ranges,0.18,0.98,guarded_fallback,1210.498139740267,guarded_fallback,1950,0.93609856230206,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,6.572204649276955,0.5429338908928132
neon_arm64,arm64,110,low_entropy_repeating,0.95,0.02,coherent_local,1846.367555913502,coherent_local,1950,0.7807322711904666,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-126.31291700642373,-6.841157742502122
neon_arm64,arm64,111,sequential_ids,0.55,0.3,hybrid,1442.6350203452232,hybrid,1950,0.7732918026015311,hybrid,hybrid,hybrid,True,1578.8490912689192,136.214070923696,9.442032738890527
neon_arm64,arm64,112,uniform_32bit,0.08,0.88,simd,1754.254424942909,simd,1950,0.7641156212561117,simd,simd,simd,True,1924.295987122199,170.04156217928994,9.693095811049405
neon_arm64,arm64,113,zipfian_smallints,0.42,0.72,hybrid,1416.8792129469732,hybrid,1950,0.8955776549019371,hybrid,hybrid,hybrid,True,1570.0427370411996,153.16352409422643,10.80992103594074
neon_arm64,arm64,114,clustered_ranges,0.18,0.98,guarded_fallback,1254.6931858823245,guarded_fallback,1950,0.890467604837756,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-37.62284149278048,-2.9985690458917547
neon_arm64,arm64,115,low_entropy_repeating,0.95,0.02,coherent_local,1768.7949282241855,coherent_local,1950,0.784473953174272,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-48.74028931710723,-2.7555647372892995
neon_arm64,arm64,116,sequential_ids,0.55,0.3,hybrid,1448.4346274201216,hybrid,1950,0.9250023520147721,hybrid,hybrid,hybrid,True,1578.8490912689192,130.4144638487976,9.003821185985124
neon_arm64,arm64,117,uniform_32bit,0.08,0.88,simd,2042.5044688280668,simd,1950,0.9361379289250338,simd,simd,simd,True,1924.295987122199,-118.20848170586783,-5.787428302357283
neon_arm64,arm64,118,zipfian_smallints,0.42,0.72,hybrid,1683.5137898338023,hybrid,1950,0.941248079874922,hybrid,hybrid,hybrid,True,1570.0427370411996,-113.47105279260268,-6.74013206650387
neon_arm64,arm64,119,clustered_ranges,0.18,0.98,guarded_fallback,1309.4976958499064,guarded_fallback,1950,0.9207483118551169,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-92.42735146036239,-7.058229407603046
cloud_vm_baseline,virtualized,120,low_entropy_repeating,0.95,0.02,coherent_local,1820.2721301536988,coherent_local,1950,0.8765631617639056,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-100.21749124662051,-5.505632349497019
cloud_vm_baseline,virtualized,121,sequential_ids,0.55,0.3,hybrid,1591.1729007340539,hybrid,1950,0.9150705153990242,hybrid,hybrid,hybrid,True,1578.8490912689192,-12.323809465134673,-0.7745110201065732
cloud_vm_baseline,virtualized,122,uniform_32bit,0.08,0.88,simd,2023.6339792581457,simd,1950,0.8864703726496287,simd,simd,simd,True,1924.295987122199,-99.3379921359467,-4.908891289340946
cloud_vm_baseline,virtualized,123,zipfian_smallints,0.42,0.72,hybrid,1606.5290776069246,hybrid,1950,0.9070506228077836,hybrid,hybrid,hybrid,True,1570.0427370411996,-36.48634056572496,-2.271128551253786
cloud_vm_baseline,virtualized,124,clustered_ranges,0.18,0.98,guarded_fallback,1268.4607473693404,guarded_fallback,1950,0.9203498967201746,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-51.39040297979636,-4.051398759194943
cloud_vm_baseline,virtualized,125,low_entropy_repeating,0.95,0.02,coherent_local,1819.5948244242968,coherent_local,1950,0.7512352151937318,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-99.54018551721856,-5.470458817594855
cloud_vm_baseline,virtualized,126,sequential_ids,0.55,0.3,hybrid,1396.9145835502843,hybrid,1950,0.7624933135466746,hybrid,hybrid,hybrid,True,1578.8490912689192,181.9345077186349,13.024025223950702
cloud_vm_baseline,virtualized,127,uniform_32bit,0.08,0.88,simd,1733.7372957386817,simd,1950,0.8818358601867134,simd,simd,simd,True,1924.295987122199,190.55869138351727,10.991209097934716
cloud_vm_baseline,virtualized,128,zipfian_smallints,0.42,0.72,hybrid,1599.3455832894058,hybrid,1950,0.8268632743765967,hybrid,hybrid,hybrid,True,1570.0427370411996,-29.30284624820615,-1.8321772701518584
