window_id,truth_regime,approx_entropy_bits,repetition_ratio,locality_small_delta_ratio,cache_window_reuse_proxy,branch_pressure_score,coherence_score,hardware_pressure_proxy,delta_abs_mean,entropy_norm,branch_norm,delta_norm,predicted_regime_tree,predicted_regime_forest,predicted_regime,regime_prediction_correct,regime_confidence,regime_probability,policy_from_truth,policy_from_predicted_regime,policy_correct_from_regime
18,clustered_ranges,3.517064231297565,0.956224738913543,0.0,0.0,0.778305705905327,0.13869941557331072,1.0,0.0,0.36665350258326207,0.9034538827878754,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,0.95,0.975,guarded_fallback,guarded_fallback,True
19,clustered_ranges,3.382222184232098,0.9505838741099468,0.0,0.019405415423505858,0.8151437970368315,0.23990192675075359,1.0,0.0,0.35146085748932226,0.9462153789644172,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
20,low_entropy_repeating,2.03315275466208,0.9702092375993627,0.9360386115780608,0.9480313438703151,0.0,0.9375392821946094,0.0016370960282057583,0.0,0.19946128838911278,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
21,low_entropy_repeating,1.988736729086689,1.0,1.0,0.9352409548888393,0.0,0.8997595116588692,0.005410762727800075,0.0,0.19445693753761137,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
22,low_entropy_repeating,1.9956973959345343,1.0,1.0,0.9694821853306916,0.005021132043825439,0.9144516870074892,0.0,0.0,0.19524119544037907,0.005828508266823006,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
23,low_entropy_repeating,1.9419819148371398,1.0,0.9753583996232684,0.9651546761120903,0.0,0.9779471903862272,0.031548528983175894,0.0,0.18918907551100173,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
24,sequential_ids,8.987468968187352,0.0,0.9803563691371183,0.013382166044462416,0.18635049558977662,0.5132318270869826,0.21166187277041143,0.0,0.9830036655811824,0.21631484585378039,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
25,sequential_ids,9.01380703341777,0.0315818251282087,1.0,0.0,0.2085747841880763,0.5891800522512047,0.25658147504091566,0.0,0.985971173759937,0.2421127035258845,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
26,sequential_ids,8.967125821533301,0.022125774201197778,1.0,0.04607267975987976,0.2054970331166572,0.5132659290483851,0.20895522402263006,0.0,0.9807116045072439,0.2385400634506152,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
27,sequential_ids,9.1320742345785,0.034473314415665944,0.994614423601522,0.0,0.24384332876726608,0.5167886295386954,0.2231581894313252,0.0,0.999296331992044,0.2830522768819382,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
28,uniform_32bit,9.051466143575123,0.0,0.0,0.0,0.7301272364639679,0.1222244558394115,0.9127175472070524,0.0,0.9902142233696517,0.8475285247270063,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9666666666666666,0.9833333333333333,simd,simd,True
29,uniform_32bit,9.05151510346215,0.0,0.0,0.0,0.6834356081872911,0.05365542899213748,0.8999762967789756,0.0,0.9902197396770913,0.7933290854318985,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
30,uniform_32bit,9.07327220338848,0.0,0.0009189447778325233,0.0,0.7101698071691411,0.11008273475913813,0.9261434631101179,0.0,0.9926711107786712,0.8243620274881065,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
31,uniform_32bit,9.106991848595419,0.0,0.0,0.0,0.7272749037381366,0.08529720075361133,0.877468357832999,0.0,0.9964703011163397,0.8442175492881745,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
32,zipfian_smallints,0.5072391825302299,0.8045645666027782,0.34552422112601766,0.40630533833845006,0.6944026994832354,0.4113784991535247,0.7360967399448899,0.0,0.02753670069600424,0.8060596373718778,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
33,zipfian_smallints,0.45274343888292107,0.8063121000718069,0.306175608626647,0.3281274848676917,0.7003756067979661,0.35558132910784035,0.7751200223836529,0.0,0.021396668633439066,0.8129929622390629,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
34,zipfian_smallints,0.4150068470512349,0.7894112114526786,0.24369417665497237,0.34717212337242326,0.667268148259301,0.37598864263827025,0.843877413360849,0.0,0.017144889168274724,0.7745619681720172,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,0.9083333333333333,0.9416666666666667,hybrid,hybrid,True
35,zipfian_smallints,0.39700619349807753,0.7780642884309072,0.32510740584963943,0.4371520150772122,0.6848530011352397,0.40895253129635906,0.7902466665282153,0.0,0.015116756646975106,0.7949743890093286,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
36,clustered_ranges,3.538295811552447,0.9602628584314352,0.0,0.03332012728185232,0.8030429822339986,0.16871531786309701,0.9859853110645188,0.0,0.36904566341599787,0.9321688057020516,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
37,clustered_ranges,3.2900083353304015,0.9752365251205066,0.0,0.01696509668878768,0.7733401834354295,0.19414615567635415,1.0,0.0,0.3410711288431123,0.8976899258729237,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
38,clustered_ranges,3.412434346213477,0.987035128167984,0.0015946604273360209,0.010002531792742426,0.7683532589937146,0.18949482785019922,0.9870814020475953,0.0,0.3548648599091377,0.8919011256420475,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
39,clustered_ranges,3.5674534647144474,1.0,0.011575396576695023,0.0,0.7566276558404975,0.21573428859266594,0.9978824767544141,0.0,0.3723308543924252,0.878290096432797,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,0.9333333333333333,0.9666666666666667,guarded_fallback,guarded_fallback,True
40,low_entropy_repeating,2.0384114722713287,0.9551082802605162,1.0,0.9536326101464309,0.0,0.9358542557765015,0.027911516130695587,0.0,0.2000537877765463,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
41,low_entropy_repeating,2.0041973438684995,0.9841565762839289,0.9968953519580211,0.9324406786537934,0.02457687536307406,0.9941447591897946,0.0,0.0,0.19619888404781322,0.028528730170023747,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
42,low_entropy_repeating,1.9810519788392253,0.993530248427449,1.0,0.9288425625603612,0.0,0.9598398645114232,0.07182050642492555,0.0,0.19359109720304127,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
43,low_entropy_repeating,1.877291087606709,1.0,0.9901442433063132,0.9381602696251345,0.0,0.9399663148293237,0.059001337840968754,0.0,0.1819003640123685,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
44,sequential_ids,9.046612419359016,0.034646232108198886,1.0,0.013172600367887286,0.25231803578503376,0.563169794762149,0.27483964530391175,0.0,0.9896673545627477,0.2928896799776611,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
45,sequential_ids,8.976274323717224,0.0013309163171840966,0.9790772853009917,0.02968751803784559,0.16465089130655405,0.5734705102725299,0.24428046827484523,0.0,0.9817423656818647,0.19112603945561357,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
46,sequential_ids,9.093699767477386,0.015017379774625196,1.0,0.021923240734159345,0.1528387923304028,0.547991404813054,0.21483978422215552,0.0,0.9949726831597682,0.17741460627080194,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
47,sequential_ids,8.958537612610698,0.030224568665534433,1.0,0.0,0.16958847900678806,0.5509834627862878,0.21350319551856617,0.0,0.9797439715396846,0.19685756981127653,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
48,uniform_32bit,8.946308777808273,0.006240189431024877,0.03465936108320088,0.018262844166733194,0.651261314742057,0.08913100187090779,0.9121610071969773,0.0,0.9783661494796602,0.7559813053520373,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9833333333333334,0.9916666666666667,simd,simd,True
49,uniform_32bit,9.033111222829815,0.03232419363302415,0.0,0.0,0.7377271896838006,0.032552168016381736,0.9542784714416053,0.0,0.9881461755857472,0.8563505174136425,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9333333333333333,0.9666666666666667,simd,simd,True
50,uniform_32bit,9.029468529016052,0.01693167971686808,0.0,0.024412910698986313,0.7520541466796711,0.08698634060411506,0.917032026780961,0.0,0.9877357534992928,0.8729811868642768,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
51,uniform_32bit,9.021627459142538,0.0,0.0,0.0,0.7315018159306048,0.10999472740730884,0.8782439175406478,0.0,0.9868523006421344,0.8491241306012932,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
52,zipfian_smallints,0.4899992775744338,0.8296291109531795,0.2476923531356231,0.3253324994812904,0.7260691857549357,0.44533155571455957,0.7803427816668198,0.0,0.025594281672066545,0.842817957090398,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
53,zipfian_smallints,0.6063168472349592,0.8171358796513306,0.2952546020067019,0.3666234950397228,0.7898295930103825,0.41384514933401867,0.7198943312380046,0.0,0.03869977504375949,0.916830760884588,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,0.9666666666666666,0.9833333333333333,hybrid,hybrid,True
54,zipfian_smallints,0.6283403489213713,0.7908460113808635,0.27323641333029103,0.3892865205458158,0.6719322137682322,0.38245058357681583,0.7319616618864344,0.0,0.04118116161515287,0.7799759951560791,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
55,zipfian_smallints,0.4364690967979661,0.8087927321203399,0.28572563528438316,0.3582882253798566,0.6776170234832289,0.3506968969010207,0.7816306075617115,0.0,0.019563039518374924,0.7865748975808659,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
56,clustered_ranges,3.362257917308933,0.9891877154343323,0.0210586087866381,0.014147242961760457,0.8128039925612757,0.18687634122345204,1.0,0.0,0.3492114847712036,0.9434993440923017,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
57,clustered_ranges,3.3436261389704094,0.9764077717233708,0.005903282899708717,0.03461585426252256,0.7781877648332629,0.19563501767196337,0.9820248362425387,0.0,0.3471122434594137,0.903316977303709,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
58,clustered_ranges,3.3905966266137493,0.9965903808404815,0.0,0.0,0.7455344380767154,0.10999151640455085,0.9696520667953447,0.0,0.3524044053939481,0.8654131374367909,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,0.6416666666666666,0.8166666666666667,guarded_fallback,guarded_fallback,True
59,clustered_ranges,3.4599547119782192,0.9743023186723485,0.005933702458255564,0.04267652490132378,0.8298305839680308,0.1779258619582158,1.0,0.0,0.3602189765775639,0.9632637374410339,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
60,low_entropy_repeating,2.007370132674729,0.9732520355234507,0.9821679894340379,0.8955839046230495,0.0,0.9392594993577671,0.04410755058135805,0.0,0.1965563619661636,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
61,low_entropy_repeating,2.137661586493279,0.9623563696924592,1.0,0.9087836818252739,0.03424091265389606,0.9460674004793681,0.0,0.0,0.2112362920007294,0.0397467026807662,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
62,low_entropy_repeating,2.0742637593254787,0.9778999857438254,0.9839829928487933,0.9079074276613093,0.0003715016993733368,0.9628367132208475,0.014322669771907836,0.0,0.20409326273909492,0.00043123755898811524,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
63,low_entropy_repeating,2.0262929601825985,0.9972384370785768,1.0,0.9297164154740686,0.0,0.9820166724971594,0.01005535483708236,0.0,0.198688395769843,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
64,sequential_ids,9.08916739556619,0.007667542263649408,0.9960658740938997,0.010463276821388853,0.258530376803789,0.6123094158716126,0.25208143405398337,0.0,0.9944620210971615,0.3001009384484804,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
65,sequential_ids,9.012815247465365,0.021524803149327712,0.9746301690169796,0.009992111178547654,0.1992241145613843,0.5594172463437267,0.22499893582151784,0.0,0.9858594292980875,0.2312584868385291,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
66,sequential_ids,8.872834600535283,0.0,0.9664784766103117,0.0,0.19120425240053715,0.6081169348728855,0.28317980109721896,0.0,0.9700878184755645,0.22194906567706804,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
67,sequential_ids,8.92303271069267,0.006954169049019139,0.9877876529094902,0.0,0.20555976948246146,0.5685751335092618,0.23982224548347955,0.0,0.9757436364389142,0.23861288755154086,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
68,uniform_32bit,9.085108122618749,0.0,0.00019017187086805325,0.07793021179787496,0.7266923922787583,0.12299643519818518,0.9127456053451963,0.0,0.9940046630655087,0.8435413725163087,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9666666666666666,0.9833333333333333,simd,simd,True
69,uniform_32bit,9.046462167626384,0.0,0.0,0.0,0.7329090407687265,0.054453884324426965,0.9299675570894029,0.0,0.9896504257093351,0.8507576310810023,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
70,uniform_32bit,9.086822960355672,0.007330628144744599,0.0,0.013618967379260882,0.7107398083336076,0.10806641376395448,0.8550578174735464,0.0,0.9941978737271514,0.8250236823639779,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9833333333333334,0.9916666666666667,simd,simd,True
71,uniform_32bit,8.973151410550509,0.0,0.0,0.04091586689441728,0.7468555494591506,0.058415593001456295,0.8649248963187731,0.0,0.98139050724873,0.8669466777911791,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
72,zipfian_smallints,0.2628376929726679,0.7891300898413474,0.3426124503674221,0.3630465281439094,0.7032128314185153,0.4339524062850092,0.7331712494101668,0.0,0.0,0.8162864002549065,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
73,zipfian_smallints,0.4762141309841892,0.8019895494603149,0.26741698044536855,0.37372418365070237,0.7303393567870815,0.4400497805432399,0.7593488315330772,0.0,0.02404111005926954,0.8477747530767167,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
74,zipfian_smallints,0.5718252326728439,0.8325787389524799,0.24089551441045765,0.3233691303285632,0.760073530089607,0.4142596803991482,0.8221146417619968,0.0,0.03481360696664057,0.8822900522937597,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,0.9833333333333334,0.9916666666666667,hybrid,hybrid,True
75,zipfian_smallints,0.4645971430486253,0.8291009115254143,0.2739445745041636,0.3577468646996808,0.7669415406500971,0.40914688567667484,0.7517663371222513,0.0,0.02273222474785096,0.8902624091206768,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
76,clustered_ranges,3.3641148633577314,0.9890466790128628,0.0,0.029124127079533643,0.7738368604714677,0.2144343798220069,0.9181721908529858,0.0,0.34942070676754644,0.8982664664190043,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,0.8,0.8916666666666667,guarded_fallback,guarded_fallback,True
77,clustered_ranges,3.3370747379916663,0.946270636975318,0.0,0.017429977033268294,0.7846232012365074,0.17239867293155955,0.9852244538585981,0.0,0.34637409751677756,0.9107872039278125,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
78,clustered_ranges,3.4162710592495955,0.9598292791611378,0.021205489226971522,0.029879979111564516,0.801551138129683,0.1966960032825379,0.9988925400242598,0.0,0.35529714212936186,0.9304370795456947,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
79,clustered_ranges,3.562805864218485,0.9782581165789498,0.0,0.0,0.759032119882665,0.14266584637196772,0.9633360806030724,0.0,0.37180720953230756,0.8810811878489817,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,0.95,0.975,guarded_fallback,guarded_fallback,True
80,low_entropy_repeating,1.9943455694678343,0.9966859025699543,1.0,0.9170339416771086,0.047005536920598896,0.9721823801690284,0.015210550777339491,0.0,0.19508888523607612,0.054563823085487725,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
81,low_entropy_repeating,1.947766708426823,1.0,1.0,0.8965561822175485,0.017960592320467855,0.9578610743622313,0.0,0.0,0.1898408478465781,0.020848577552469567,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
82,low_entropy_repeating,2.0151874714269953,0.9609035502948442,1.0,0.9774384995517829,0.012424479970911059,0.9609036301351721,0.0,0.0,0.19743714103936044,0.014422282383607741,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
83,low_entropy_repeating,1.9074921871787733,0.9841244215969573,0.9678360093571943,0.9614318944789197,0.07991889592243982,0.9147015584171209,0.0,0.0,0.18530312003121135,0.09276950725327347,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
84,sequential_ids,9.018835869464795,0.03222232296999242,0.963328770623803,0.007471083669208259,0.25463896552439325,0.5004472255546221,0.21156792379462502,0.0,0.9865377724059882,0.2955838051379837,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
85,sequential_ids,8.966111471483133,0.0,1.0,0.007249791594625142,0.14675113821073615,0.5654623120870244,0.23267383337933048,0.0,0.9805973177498961,0.17034808381085811,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
86,sequential_ids,9.101955777355299,0.0,0.980901541506933,0.016233948324135942,0.22288779447010812,0.5634429809180862,0.19943208047845576,0.0,0.9959028872815304,0.25872718369167347,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
87,sequential_ids,9.04304275519426,0.0,1.0,0.0,0.21338966442629193,0.5258020328707789,0.21152096049218436,0.0,0.9892651607223254,0.24770179559262523,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
88,uniform_32bit,9.057105610918592,0.004832890433535026,0.0,0.04353536547063192,0.7067804273529077,0.08096323021912805,0.9180674034303581,0.0,0.990849621806065,0.8204276501194386,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
89,uniform_32bit,8.950426725269711,0.009422725867998588,0.0,0.0,0.7608792791941003,0.04878241842462701,0.8376165900721153,0.0,0.9788301183651722,0.8832253623544261,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.9166666666666666,0.95,simd,simd,True
90,uniform_32bit,9.128874959600951,0.05098655905214006,0.0,0.0,0.7106854807141216,0.07141331150477992,0.9043022847693323,0.0,0.9989358698784109,0.8249606190992546,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
91,uniform_32bit,8.910928956646252,0.011591222849529547,0.015735221258582583,0.0,0.7409759019508466,0.14158054945837673,0.9151588099731118,0.0,0.9743799072199244,0.8601216085022133,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,0.8416666666666667,0.9083333333333333,simd,simd,True
92,zipfian_smallints,0.4730139870345195,0.7971599357118496,0.2884577030090569,0.2980798518347834,0.724931721089319,0.4082860815161157,0.8354347503886814,0.0,0.023680550038601467,0.8414975930472101,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,0.9666666666666666,0.9833333333333333,hybrid,hybrid,True
93,zipfian_smallints,0.48606618129560336,0.8333577522223904,0.2368877790665398,0.36761777500408377,0.7295820079137368,0.3939285825640565,0.7853218834391082,0.0,0.025151139957853657,0.8468956257941377,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
94,zipfian_smallints,0.597001506946528,0.793524165914268,0.21924112052490713,0.3494731152056766,0.6929273071562246,0.4097297718400835,0.7775523669094464,0.0,0.03765021623023374,0.8043470083671568,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
95,zipfian_smallints,0.36354782271875863,0.7676868332135864,0.2844620050657658,0.33431843911490955,0.6430576697453829,0.443545321098244,0.7881710926582273,0.0,0.01134700408288918,0.7464585498730224,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
